ISIN,Name,Sector,Asset Class,Weight,Country,Currency
,ZURN ELKAY WATER SOLUTIONS CORP,Industrials,Equity,0.0007,United States,USD
,INGREDION INC,Consumer Staples,Equity,0.0007,United States,USD
,EPAM SYSTEMS INC,Information Technology,Equity,0.0007,United States,USD
,TEREX CORP,Industrials,Equity,0.0007,United States,USD
,POWELL INDUSTRIES INC,Industrials,Equity,0.0007,United States,USD
,QORVO INC,Information Technology,Equity,0.0007,United States,USD
,SPROUTS FARMERS MARKET INC,Consumer Staples,Equity,0.0007,United States,USD
,VF CORP,Consumer Discretionary,Equity,0.0007,United States,USD
,WEATHERFORD INTERNATIONAL PLC,Energy,Equity,0.0007,United States,USD
,CHORD ENERGY CORP,Energy,Equity,0.0007,United States,USD
,MAPLEBEAR INC,Consumer Staples,Equity,0.0007,United States,USD
,TIMKEN,Industrials,Equity,0.0007,United States,USD
,STAG INDUSTRIAL REIT INC,Real Estate,Equity,0.0007,United States,USD
,JEFFERIES FINANCIAL GROUP INC,Financials,Equity,0.0007,United States,USD
,CAPITAL POWER CORP,Utilities,Equity,0.0007,Canada,CAD
,CHARTER HALL GROUP STAPLED UNITS,Real Estate,Equity,0.0007,Australia,AUD
,A O SMITH CORP,Industrials,Equity,0.0007,United States,USD
,NORDEX,Industrials,Equity,0.0007,Germany,EUR
,OCEANAGOLD CORPORATION CORP,Materials,Equity,0.0007,Canada,CAD
,MIDDLEBY CORP,Industrials,Equity,0.0007,United States,USD
,ACKERMANS & VAN HAAREN NV,Industrials,Equity,0.0007,Belgium,EUR
,GPT GROUP STAPLED UNITS,Real Estate,Equity,0.0007,Australia,AUD
,URANIUM ENERGY CORP,Energy,Equity,0.0007,United States,USD
,VIASAT INC,Information Technology,Equity,0.0007,United States,USD
,SILICON LABORATORIES INC,Information Technology,Equity,0.0007,United States,USD
,SHIZUOKA FINANCIAL GROUP INC,Financials,Equity,0.0007,Japan,JPY
,NEXT VISION STABILIZED SYSTEMS LTD,Information Technology,Equity,0.0007,Israel,ILS
,MATADOR RESOURCES,Energy,Equity,0.0007,United States,USD
,MERLIN PROPERTIES REIT SA,Real Estate,Equity,0.0007,Spain,EUR
,HEALTHEQUITY INC,Health Care,Equity,0.0007,United States,USD
,FEDERAL SIGNAL CORP,Industrials,Equity,0.0007,United States,USD
,WYNDHAM HOTELS RESORTS INC,Consumer Discretionary,Equity,0.0007,United States,USD
,GLAUKOS CORP,Health Care,Equity,0.0007,United States,USD
,IMCD NV,Industrials,Equity,0.0007,Netherlands,EUR
,GXO LOGISTICS INC,Industrials,Equity,0.0007,United States,USD
,CONAGRA BRANDS INC,Consumer Staples,Equity,0.0007,United States,USD
,ANTERO MIDSTREAM CORP,Energy,Equity,0.0007,United States,USD
,SUBSEA SA,Energy,Equity,0.0007,Norway,NOK
,LITHIA MOTORS INC CLASS A,Consumer Discretionary,Equity,0.0007,United States,USD
,VAXCYTE INC,Health Care,Equity,0.0007,United States,USD
,RINGKJOBING LANDBOBANK,Financials,Equity,0.0007,Denmark,DKK
,ONEMAIN HOLDINGS INC,Financials,Equity,0.0007,United States,USD
,BROWN FORMAN CORP CLASS B,Consumer Staples,Equity,0.0007,United States,USD
,VOYA FINANCIAL INC,Financials,Equity,0.0007,United States,USD
,CAPSTONE COPPER CORP,Materials,Equity,0.0007,Canada,CAD
,REPLIGEN CORP,Health Care,Equity,0.0007,United States,USD
,ORICA LTD,Materials,Equity,0.0007,Australia,AUD
,ESSENTIAL PROPERTIES REALTY TRUST,Real Estate,Equity,0.0007,United States,USD
,CLEARWATER ANALYTICS HOLDINGS INC,Information Technology,Equity,0.0007,United States,USD
,AEDIFICA NV,Real Estate,Equity,0.0007,Belgium,EUR
,UL SOLUTIONS INC CLASS A,Industrials,Equity,0.0007,United States,USD
,AEROVIRONMENT INC,Industrials,Equity,0.0006,United States,USD
,COMMERCE BANCSHARES INC,Financials,Equity,0.0006,United States,USD
,MGIC INVESTMENT CORP,Financials,Equity,0.0006,United States,USD
,D WAVE QUANTUM INC,Information Technology,Equity,0.0006,United States,USD
,FIRST AMERICAN FINANCIAL CORP,Financials,Equity,0.0006,United States,USD
,HEXCEL CORP,Industrials,Equity,0.0006,United States,USD
,MEBUKI FINANCIAL GROUP INC,Financials,Equity,0.0006,Japan,JPY
,DUTCH BROS INC CLASS A,Consumer Discretionary,Equity,0.0006,United States,USD
,TERRENO REALTY REIT CORP,Real Estate,Equity,0.0006,United States,USD
,PAYCOM SOFTWARE INC,Industrials,Equity,0.0006,United States,USD
,JBT MAREL CORP,Industrials,Equity,0.0006,United States,USD
,HANOVER INSURANCE GROUP INC,Financials,Equity,0.0006,United States,USD
,FUKUOKA FINANCIAL GROUP INC,Financials,Equity,0.0006,Japan,JPY
,EAGLE MATERIALS INC,Materials,Equity,0.0006,United States,USD
,GAP INC,Consumer Discretionary,Equity,0.0006,United States,USD
,GLACIER BANCORP INC,Financials,Equity,0.0006,United States,USD
,STONEX GROUP INC,Financials,Equity,0.0006,United States,USD
,GATX CORP,Industrials,Equity,0.0006,United States,USD
,AVNET INC,Information Technology,Equity,0.0006,United States,USD
,PLEXUS CORP,Information Technology,Equity,0.0006,United States,USD
,LEAR CORP,Consumer Discretionary,Equity,0.0006,United States,USD
,BRIGHTSPRING HEALTH SERVICES INC,Health Care,Equity,0.0006,United States,USD
,AXSOME THERAPEUTICS INC,Health Care,Equity,0.0006,United States,USD
